Order ID,Order Date,Customer ID,Customer Name,Location,Product Category,Product Name,Quantity Sold,Unit Price,Discount (%),Salesperson,Payment Method,Order Status,Total Sales,Profit Margin,Revenue,Month,Year,Total Sales Revenue
ffea84e6-e053-4826-a5a6-e38ab81c2ddf,26-08-2021,3c4d31fe-6cb6-405c-981f-0c4c2ee223a0,Riya Desai,Mumbai (Urban),Books,The Immortals of Meluha,5,284.74,7.98,Michelle Andersen,Gift Card,Returned,1310.09,455.85,5935726.92,August,2021,1415.72
ffe7dab6-a8bd-48a9-9edc-48e9bb7d2b02,18-02-2023,644d7a99-daa8-49a0-a02f-bcab42cdb8be,Sanjay Reddy,Mumbai (Urban),Home & Kitchen,Non-Stick Tawa,8,193.65,13.62,Caitlyn Boyd,Amazon Pay,Cancelled,1338.2,465.63,5934416.83,February,2023,1535.58
ffe0be9a-ffac-407e-a3ca-543cab8b25e6,28-06-2021,44579d98-e939-464a-8919-f2c8342f81fe,Divya Iyer,Chennai (Urban),Clothing,Bandhani Dupatta,4,127.89,23.08,Roger Brown,Debit Card,Pending,393.49,136.92,5933078.63,June,2021,488.48
ffd6b1d4-72e9-458c-8925-6c513bb7ca28,14-12-2022,da67565b-0608-4ea1-bfec-296c47933d2c,Neha Singh,Chennai (Urban),Home & Kitchen,Non-Stick Tawa,1,218.59,11.36,Susan Edwards,Debit Card,Pending,193.76,67.42,5932685.14,December,2022,207.23
ffcfe410-b778-4e56-a405-a9e85cb265d6,28-08-2023,3fb1f133-52a0-4ab9-8c6d-20a7d622842a,Riya Shah,Pune (Urban),Home & Kitchen,Pressure Cooker,9,444.96,4.37,Charles Smith,Debit Card,Completed,3829.64,1332.54,5932491.38,August,2023,4000.27
ffcb5f08-53b9-481f-8e2d-c40fa905d720,17-12-2022,2c455d0c-15e5-48a4-9b90-56c885df24f6,Deepak Desai,Alwar (Rural),Clothing,Bandhani Dupatta,1,476.75,21.6,Jason Nelson,Gift Card,Cancelled,373.77,130.05,5928661.74,December,2022,455.15
ffcab7d4-5ee5-4831-8e82-0df210508c5d,03-09-2020,13beec05-44dd-4a2f-94c8-c48c1c6a9b0a,Aishwarya Gupta,Pune (Urban),Clothing,Lehenga Choli,1,288.6,25.46,Bradley Howe,Credit Card,Completed,215.12,74.85,5928287.97,September,2020,263.14
ffc9e683-f57c-416b-be19-eeddd5db5494,08-10-2021,e8d5c470-7f0b-4f06-81d2-f46b470a9828,Siddharth Sharma,Palakkad (Rural),Clothing,Anarkali Suit,8,477.77,29.3,Christina Thompson,Debit Card,Completed,2702.27,940.27,5928072.85,October,2021,3792.86
ffc4d385-8299-4fb6-8b45-88fccdad6351,17-09-2023,b5957bac-d3a5-4fcd-aad0-de64ec46b338,Neha Kumar,Kalahandi (Rural),Sports,Generic Product,6,381.45,27.47,Jason Nelson,Credit Card,Returned,1659.99,577.6,5925370.58,September,2023,2261.23
ffb602bf-e30b-479b-b7d4-ad91005edb49,16-02-2023,c5b9529d-9fdf-4dda-ae1a-aff8dedfe59c,Lakshmi Sharma,Hyderabad (Urban),Toys,Generic Product,5,411.93,8.12,Crystal Williams,Gift Card,Returned,1892.41,658.47,5923710.59,February,2023,2051.53
